epoch,Time,vertice_loss,facet_loss,vertice_error,facet_error,lr
0,0:05:46,0.2465,1.3259, 0.1662,56.2616,lr:9.9990e-04
1,0:11:27,0.2315,0.4172, 0.1563,16.5868,lr:9.9980e-04
2,0:17:08,0.2336,0.2701, 0.1580,10.4406,lr:9.9970e-04
3,0:22:50,0.2194,0.2227, 0.1479,8.5602,lr:9.9960e-04
4,0:28:32,0.2163,0.2047, 0.1460,7.8721,lr:9.9950e-04
6,0:39:55,0.2258,0.193, 0.1518,7.4565,lr:9.9930e-04
9,0:57:00,0.1963,0.1854, 0.1326,7.1114,lr:9.9900e-04
10,1:02:40,0.2053,0.1793, 0.1381,6.8904,lr:9.9890e-04
11,1:08:22,0.1941,0.177, 0.1310,6.8211,lr:9.9880e-04
18,1:48:21,0.1766,0.1719, 0.1192,6.6487,lr:9.9810e-04
19,1:54:03,0.1705,0.1648, 0.1152,6.3287,lr:9.9800e-04
20,1:59:43,0.1724,0.2204, 0.1161,8.4323,lr:9.9790e-04
23,2:16:47,0.1601,0.1584, 0.1083,6.0869,lr:9.9760e-04
24,2:22:34,0.1564,0.1529, 0.1059,5.8993,lr:9.9750e-04
30,2:56:47,0.1502,0.1536, 0.1019,5.8995,lr:9.9690e-04
33,3:13:48,0.1471,0.1468, 0.0994,5.6301,lr:9.9660e-04
34,3:19:29,0.1541,0.1417, 0.1042,5.4489,lr:9.9650e-04
40,3:53:44,0.1477,0.1534, 0.1001,5.9023,lr:9.9591e-04
44,4:16:44,0.1379,0.1415, 0.0933,5.4432,lr:9.9551e-04
47,4:34:02,0.1393,0.1388, 0.0946,5.3386,lr:9.9521e-04
49,4:45:34,0.1391,0.1385, 0.0943,5.3291,lr:9.9501e-04
50,4:51:18,0.1362,0.1643, 0.0923,6.3837,lr:9.9491e-04
52,5:02:49,0.1356,0.1348, 0.0919,5.1891,lr:9.9471e-04
60,5:49:01,0.1406,0.153, 0.0948,5.8946,lr:9.9392e-04
70,6:45:59,0.1311,0.1383, 0.0889,5.3082,lr:9.9292e-04
80,7:42:33,0.1299,0.132, 0.0880,5.0756,lr:9.9193e-04
83,7:59:34,0.1311,0.1312, 0.0885,5.0432,lr:9.9163e-04
87,8:22:16,0.1316,0.13, 0.0890,5.0012,lr:9.9123e-04
90,8:39:21,0.1270,0.1475, 0.0859,5.6544,lr:9.9094e-04
100,9:36:13,0.1314,0.1502, 0.0887,5.7772,lr:9.8995e-04
110,10:32:54,0.1309,0.1598, 0.0889,6.1163,lr:9.8896e-04
120,11:29:42,0.1234,0.1283, 0.0836,4.9336,lr:9.8797e-04
127,12:09:26,0.1231,0.1282, 0.0834,4.9299,lr:9.8728e-04
130,12:26:28,0.1218,0.1633, 0.0823,6.2438,lr:9.8698e-04
140,13:23:07,0.1220,0.1329, 0.0826,5.1018,lr:9.8599e-04
147,14:03:07,0.1201,0.1283, 0.0812,4.9296,lr:9.8530e-04
150,14:20:14,0.1231,0.1852, 0.0832,7.0894,lr:9.8501e-04
151,14:25:56,0.1203,0.1278, 0.0813,4.9146,lr:9.8491e-04
158,15:05:50,0.1178,0.1273, 0.0798,4.8919,lr:9.8422e-04
160,15:17:15,0.1198,0.1279, 0.0812,4.9153,lr:9.8402e-04
162,15:28:39,0.1192,0.1267, 0.0807,4.8675,lr:9.8382e-04
165,15:45:45,0.1208,0.1259, 0.0817,4.8354,lr:9.8353e-04
170,16:14:16,0.1231,0.1483, 0.0832,5.7601,lr:9.8304e-04
180,17:11:20,0.1203,0.132, 0.0814,5.082,lr:9.8205e-04
190,18:09:00,0.1166,0.1258, 0.0790,4.8377,lr:9.8107e-04
194,18:31:40,0.1157,0.1244, 0.0783,4.7791,lr:9.8068e-04
200,19:05:41,0.1138,0.128, 0.0770,4.9226,lr:9.8009e-04
201,19:11:20,0.1170,0.1242, 0.0791,4.7741,lr:9.7999e-04
210,20:02:16,0.1165,0.1246, 0.0788,4.7892,lr:9.7911e-04
220,21:47:49,0.1122,0.1321, 0.0759,5.073,lr:9.7813e-04
227,23:01:55,0.1130,0.1242, 0.0764,4.771,lr:9.7745e-04
230,23:34:17,0.1145,0.1251, 0.0775,4.8055,lr:9.7715e-04
236,day0:38:44,0.1099,0.1237, 0.0743,4.7529,lr:9.7657e-04
240,1day1:21:15,0.1144,0.1274, 0.0772,4.8933,lr:9.7618e-04
241,day1:27:09,0.1142,0.1234, 0.0769,4.7434,lr:9.7608e-04
244,1day1:44:22,0.1100,0.1233, 0.0744,4.7365,lr:9.7579e-04
246,1day1:55:50,0.1108,0.1227, 0.0748,4.7162,lr:9.7559e-04
249,1day2:13:05,0.1090,0.1223, 0.0738,4.6978,lr:9.7530e-04
250,1day2:18:49,0.1115,0.1241, 0.0754,4.7672,lr:9.7520e-04
260,1day3:18:33,0.1104,0.1376, 0.0745,5.293,lr:9.7422e-04
269,1day4:14:38,0.1101,0.122, 0.0743,4.6863,lr:9.7335e-04
270,1day4:20:51,0.1097,0.1238, 0.0742,4.7564,lr:9.7325e-04
280,1day5:23:10,0.1087,0.1229, 0.0734,4.723,lr:9.7228e-04
290,1day6:25:27,0.1084,0.129, 0.0733,4.9531,lr:9.7131e-04
300,1day7:27:44,0.1052,0.1256, 0.0709,4.8244,lr:9.7033e-04
307,1day8:11:19,0.1056,0.1215, 0.0713,4.67,lr:9.6965e-04
310,1day8:29:59,0.1104,0.1384, 0.0744,5.2975,lr:9.6936e-04
320,1day9:32:18,0.1071,0.1266, 0.0723,4.8565,lr:9.6839e-04
322,1day9:44:45,0.1066,0.1213, 0.0719,4.6583,lr:9.6820e-04
330,1day10:34:37,0.1041,0.1215, 0.0702,4.6698,lr:9.6743e-04
337,1day11:18:15,0.1026,0.1199, 0.0694,4.607,lr:9.6675e-04
340,1day11:36:56,0.1058,0.1252, 0.0715,4.8105,lr:9.6646e-04
346,1day12:14:17,0.1024,0.1198, 0.0692,4.6039,lr:9.6588e-04
350,1day12:39:12,0.1037,0.122, 0.0698,4.6954,lr:9.6549e-04
360,1day13:41:33,0.1041,0.1262, 0.0704,4.8492,lr:9.6453e-04
361,1day13:47:47,0.1006,0.1193, 0.0680,4.5816,lr:9.6443e-04
370,1day14:43:39,0.1041,0.136, 0.0703,5.2137,lr:9.6356e-04
380,1day15:45:13,0.1027,0.1202, 0.0695,4.6176,lr:9.6260e-04
388,1day16:31:10,0.1022,0.1188, 0.0688,4.562,lr:9.6183e-04
390,0:14:22,0.1013,0.1212, 0.0684,4.6569,lr:9.9980e-04
400,1:16:05,0.0998,0.1213, 0.0675,4.6557,lr:9.9880e-04
410,2:04:02,0.1000,0.1198, 0.0677,4.6,lr:9.9780e-04
420,2:51:54,0.0975,0.1214, 0.0658,4.6759,lr:9.9680e-04
430,3:39:49,0.0981,0.1185, 0.0662,4.5541,lr:9.9581e-04
434,3:58:59,0.0979,0.1184, 0.0661,4.5431,lr:9.9541e-04
440,4:27:44,0.1009,0.1203, 0.0681,4.622,lr:9.9481e-04
446,4:56:29,0.1000,0.1177, 0.0676,4.5208,lr:9.9421e-04
450,5:15:41,0.0996,0.1179, 0.0672,4.5291,lr:9.9382e-04
460,6:03:40,0.0986,0.1192, 0.0667,4.5764,lr:9.9282e-04
470,6:51:37,0.0962,0.1179, 0.0650,4.5294,lr:9.9183e-04
480,7:39:40,0.0970,0.1221, 0.0655,4.6956,lr:9.9084e-04
