epoch,time,vertice_loss,facet_loss,vertice_error,facet_error,lr
0,0:02:08,0.2406,1.1211,0.1642,46.2732,0.001
1,0:04:16,0.2441,0.3766,0.1645,14.5188,0.0009999
2,0:06:26,0.2348,0.2825,0.1579,10.8747,0.0009998
3,0:08:34,0.2298,0.2607,0.1546,9.9914,0.0009997
5,0:12:52,0.2222,0.1917,0.1494,7.3914,0.0009995
6,0:15:02,0.2157,0.1801,0.1449,6.9609,0.0009994
8,0:19:20,0.2078,0.175,0.1397,6.7452,0.0009992
10,0:23:38,0.1985,0.1747,0.1334,6.7388,0.000999
16,0:38:07,0.1888,0.1639,0.1273,6.3029,0.0009984
20,0:47:34,0.1776,0.1875,0.1198,7.2903,0.000998
21,0:49:41,0.1761,0.1599,0.1188,6.1594,0.0009979
26,1:00:19,0.1563,0.1576,0.1057,6.0514,0.0009974
30,1:08:51,0.1501,0.1613,0.1018,6.1991,0.000997
34,1:17:22,0.147,0.1562,0.0995,5.9815,0.0009966
39,1:28:00,0.1385,0.1518,0.0938,5.8309,0.00099611
40,1:30:08,0.143,0.1642,0.0969,6.294,0.00099601
41,1:32:16,0.1403,0.1467,0.0952,5.6375,0.00099591
42,1:34:24,0.1394,0.146,0.0946,5.6102,0.00099581
45,1:40:47,0.1365,0.1422,0.0926,5.4666,0.00099551
47,1:45:03,0.1339,0.1416,0.0907,5.4473,0.00099531
48,1:47:10,0.1332,0.1416,0.0903,5.439,0.00099521
49,1:49:17,0.1373,0.1374,0.093,5.2816,0.00099511
50,1:51:25,0.1364,0.1535,0.0923,5.8987,0.00099501
51,1:53:31,0.1353,0.1355,0.0915,5.2064,0.00099491
57,2:06:15,0.1381,0.1334,0.0935,5.1299,0.00099431
60,2:12:38,0.1311,0.1865,0.0888,7.2048,0.00099401
70,2:33:50,0.133,0.1455,0.0902,5.6164,0.00099302
80,2:55:07,0.1308,0.1318,0.0884,5.0679,0.00099203
90,3:16:20,0.1262,0.1307,0.0853,5.0255,0.00099104
100,3:37:30,0.1251,0.1333,0.0847,5.1326,0.00099004
110,3:58:20,0.122,0.1344,0.0825,5.1645,0.00098905
116,4:11:00,0.1202,0.1282,0.0814,4.9297,0.00098846
120,4:19:23,0.1228,0.1326,0.0832,5.0981,0.00098807
130,4:40:15,0.1221,0.133,0.0826,5.1068,0.00098708
135,4:50:42,0.1205,0.1276,0.0818,4.9021,0.00098658
140,5:01:08,0.1252,0.1536,0.0844,5.9103,0.00098609
150,5:22:01,0.1159,0.1316,0.0785,5.0619,0.0009851
157,5:36:36,0.119,0.1275,0.0804,4.9021,0.00098441
158,5:38:42,0.1205,0.1275,0.0815,4.8979,0.00098432
160,5:42:51,0.1219,0.1274,0.0825,4.8965,0.00098412
162,5:47:01,0.1158,0.1271,0.0784,4.885,0.00098392
170,6:03:40,0.1152,0.13,0.078,5.0016,0.00098314
171,6:05:45,0.1143,0.1259,0.0774,4.8376,0.00098304
180,6:24:37,0.1177,0.1332,0.0797,5.1295,0.00098215
189,6:43:24,0.1134,0.1251,0.0768,4.8074,0.00098127
190,6:45:29,0.1209,0.1283,0.0816,4.9292,0.00098117
198,7:02:14,0.1138,0.1242,0.077,4.7744,0.00098039
200,7:06:24,0.1214,0.1579,0.0822,6.0525,0.00098019
210,7:27:21,0.1134,0.1271,0.0768,4.8864,0.00097921
215,7:37:47,0.1114,0.1233,0.0753,4.7368,0.00097872
220,7:48:12,0.1185,0.1385,0.0802,5.3148,0.00097823
230,8:09:08,0.1144,0.1276,0.0772,4.9068,0.00097725
240,8:30:03,0.1147,0.1341,0.0776,5.1715,0.00097627
242,8:34:13,0.1129,0.1221,0.0764,4.6925,0.00097608
250,8:50:56,0.1138,0.1605,0.077,6.1585,0.0009753
260,9:12:02,0.1104,0.1241,0.0747,4.7685,0.00097432
270,9:32:53,0.1125,0.1465,0.0761,5.6254,0.00097335
280,9:53:44,0.1112,0.1249,0.0751,4.7935,0.00097237
290,10:14:38,0.1091,0.1287,0.0738,4.947,0.0009714
300,10:35:33,0.1147,0.1371,0.0773,5.293,0.00097043
310,10:56:26,0.1092,0.1526,0.0739,5.8474,0.00096946
314,11:04:46,0.1095,0.1214,0.0741,4.6619,0.00096907
318,11:13:09,0.1115,0.1212,0.0754,4.6564,0.00096868
320,11:17:23,0.1093,0.1217,0.0739,4.6752,0.00096849
330,11:38:13,0.1151,0.1351,0.0777,5.1852,0.00096752
